,HELBIDEA/DIRECCION
2296,ASKORBEKO-UGARTE BIDEA 1  
2297,ZALBIDEA AUZOA 11  
2298,PAGOETABIDEA 8
2299, AKARLANDA
2300,ELORRITXU AUZOA AUZOA 6  
2301,KALEA MESO KALEA 49DUP  
2302,SAN LORENZO 15
2303,ATEGORRIBARRI AUZOA 7 3DR
2304,CAMINO DE ATEGORRI BIDEA 
2305,KUKULARRA 16 BDRCH
2306,ALTZAGA GOIKOA
2307,GOIERRI-MARTIARTU ERREPIDEA 13
2308,FANO AUZOA 1  
2309,BIDEA ASKORBEASKOA 5002  
2310,OBIETA 14
2311,"BIDEBITARTE ETXETXIKERRE BIDEA, 3"
2312,ERANDIOGOIKOA-MAGDALENA ERREPIDEA
2313,"URGITXI-TELLEBARRI BIDEA, 6"
2314,GOIKOA -MAGDALENA 8-C
2315,JOSE URREA 8
2316,GOIKOA LA MAGDALENA ERREPIDEA 14
2317,GORRIBIDEA
2318,MARTXUNE-GORRITXU KALEA 4  
2319,GORRIBIDEA Nº2
2320,ALTZAGA-GOIKOA ERREPIDEA 18
2321,KURRULLUBIDEA
2322,BARRIO SANTI MAMI AUZOA 18A  
2323,MESO
2324,GERNIKA Nº 1
2325,DEGOIENE-ANDRAMARITURRI 3B
2326,CAMINO PLAYABARRI
2327,PEÑES-ANDRAMARITURRI KALEA 6  
2328,BASABE BAJO BIDEA 5  
2329,ALTZAGA GOIKOA ERREPIDEA 29  
2330,PLAIABARRIBIDEA 6
2331,JOSE URREA
2332,MONTE SAN PABLO 17
2333,MESO KALEA 37
2334,ARRIAGA-SAKONI BIDEA 10 (48950)
2335,ARRIAGA-SAKONI BIDEA 10 (48950)
2336,BILBAO-PLENTZIA ERREPIDEA
2337,"UGARTE-URIBE BIDEA, 6"
2338,MAGDALENA ERREPIDEA 27
2339,ALTZAGA-ERANDIOGOIKOA ERREPIDEA 84
2340,SAN JOSE DE LUTXANA 22
2341,TARTANGA 38
2342,MAGDALENA ERREPIDEA 25
2343,IPARRAGUIRRE ETORBIDEA 110A
2344,CERVECERA GOIKOLANDA
2345,ELEXALDE 135
2346,"ARRIAGA-SAKONI BIDEA, 10"
2347,MARTIARTU-MARTIARTUGOITIA BIDEA
2348,LUIS LANDETXO
2349,GOIRRI
2350,ALTZAGAERANDIOGOIKOA 4
2351,"FAOETA, 14"
2352,FAOETA AUSOA
2353,AVENIDA JOSE LUIS GOYOAGA 9
2354,GOHIERRI MARTIARTU ERREPIDEA Nº7
2355,LUTXAN-ASUA ERREPIDEA 3
2356,AVANZADA ETORBIDEA 110
2357,CARRETERA AVANZADA
2358,CANTERA ERREPIDEA 11
2359,BASABE ALTO Nº 5
2360,DEGOLLENE-ANDRAMARITURRI KALEA
2361,DEGOLLENE-ANDRAMARITURRI KALEA
2362,DEGOLLENE-ANDRAMARITURRI 1
2363,MESO 73
2364,ASKORBEASKOA-PEÑAS
2365,ASKORBEASKOA-PEÑAS BIDEA
2366,PLAIABARRIBIDEA 10
2367,"ASKORBEKO-PEÑES BIDEA, 19"
2368,"ENEKONE BIDEA, 3"
2369,"TARTANGA KALEA, 4"
2370,DESENGAÑO A URGITXI 6
2371,ATEGORRIBARRI AUZOA 6
2372,GOIKOA
2373,MESOENA-ETXEBARRIZARRA
2374,ERANDIO GOIKOA
2375,DEMOSTI-AROANDO BIDEA
2376,ERANDIOGOIKOA-ELORDUI BIDEA 4
2377,DEGOIENA-ANDRAMARITURRI CON DOMESTI-ARONDO BIDEA
2378,ENEKURIETORBIDEA
2379,AVENIDA FÁTIMA
2380,IBAÑEZ DE BETOLAZA GOIKOA
2381,DEGOLLENE-ANDRAMARITURRI KALEA
2382,BARRIO UGARTE 7 (48950)
2383,LUIS LANDECHO AUZOA
2384,PINU BARRI AUZOA
2385,ESCUELA ARRIAGA-ITURRALDE BIDEA 4 (48950)
2386,MEZO KALEA 73B (48950)
2387,DESANEXIO 4
2388,LEIOA UMBE 2
2389,CARRETERA UNIVERSIDAD
2390,"BIDEBITARTE ETXETXIKERRE BIDEA, 1"
2391,ALTZAGA GOIKOA ERREPIDEA 16 (48950)
2392,"MAGDALENA ERREPIDEA, 25"
2393,"GOIKOA LA MAGDALENA ERREPIDEA, 10"
2394,BI-647  (48950)
2395,ETXEBARRI
2396,"FANO AUZOA, 15"
2397,"ELEXALDE AUZOA, 153"
2398,ZUBIETA IBARRA
2399,"AKARLANDA ERREPIDEA, 14"
2400,"ALTZAGA GOIKOA ERREPIDEA, 1"
2401,ERANDIO GOIKOA
2402,ASKORBEASKOA PEÑAS BIDEA
2403,ERANDIOGOIKOA-ERANDIONDO ERREPIDEA Nº 10
2404,KALEA DESANEXIO 4002 (48950)
2405,"KAUKARRAKA BIDEA, 1"
2406,ALTZAGA GOIKOA ERREPIDEA 2
2407,"AVANZADA ERREPIDEA, 29"
2408,C/ OLETA
2409,"MANUEL IRADIER BULFFY KALEA, 3"
2410,"KUKULARRA BIDEA, 1"
2411,ETORBIDEA AXPEKO ERRIBERA 11C (48950)
2412,"FANO AUZOA, 14"
2413,KOZKOETXE BIDEA 11 (48950)
2414,"MAGDALENA ERREPIDEA, 13"
2415,GOIERRI MARTIARTU ERREPIDEA
2416,SANTSOENA AUZOA 8 (48940)
2417,UGARTE 1 ERANDIO
2418,MENDOTXE AGARRE
2419,"AKARLANDA ERREPIDEA, 14"
2420,BARRIO UGARTE AUZOA 10B (48950)
2421,MENDOTZA-AGUIRRE 4
2422,AVANZADA ERREPIDEA 44
2423,AXPEKO ERRIBERA Nº11
2424,KATEA-LOIU HIRIBIDEA 12 (48950)
2425,KATEA-LOIU HIRIBIDEA
2426,CANTERA ERREPIDEA
2427,GOIHERRI-MARTIARTU ERREPIDEA 7
2428,BASABE AUZOA
2429,OBIETA KALEA 2 (48950)
2430,MARTXUNE-GORRITXU KALEA 2 (48950)
2431,MARTXUNE-GORRITXU KALEA 2 (48950)
2432,CARRETERA AKARLANDA ERREPIDEA 7DUP (48950)
2433,CARRETERA AKARLANDA ERREPIDEA 7DUP (48950)
2434,BARRIO FAUSTE 31
2435,MARTIARTU-MARTUGOITI KALEA 1 (48950)
2436,UGARTE-URIBE BIDEA 2 (48950)
2437,CASERIO ARETXES  (48950)
2438,GOIHERRI-MARTIARTU ERREPIDEA 15 ()
2439,LEIOA-UNBE ERREPIDEA 30 (48950)
2440,CR ALTZAGA-ERANDIOGOIKOA ERREPIDEA 50
2441,CR AKARLANDA ERREPIDEA 14
2442,CM GOIKOBASABEBIDEA 5
2443,CR ALTZAGA-ERANDIOGOIKOA ERREPIDEA 44
2444,CR GOIERRI-MARTIARTU ERREPIDEA 7
2445,BASETXETA 31
2446,BASETXETA ATXOSTE 19
2447,BASETXETA ATXOSTE 19
2448,IURRETA
2449,LUGAR BARRIO BASETXETAS 8D  
2450,GABIKA 18
2451,GABIKA 18
2452,AKORDA BOLLAR 1
2453,ELEIXALDE ZEETA 22
2454,BASETXETA 35
2455,GABIKA 8 ESK. 
2456,BASETXETA ATXOSTE 9
2457,GABIKA AUZOA 18 (48313)
2458,BASETXETA ATXOSTE 35
2459,LUGAR BARRIO BOLLAR 12 (48313)
2460,LUGAR BARRIO ELEXALDE 42 (48313)
2461,ELEXALDE-ZEETA AUZOA 48 (48313)
2462,LUGAR BARRIO AKORDA 13A (48313)
2463,AKORDA-BOLLAR N° 1
2464,LUGAR BARRIO GABIKA 4B (48313)
2465,BASETXETA ATXOSTE 27
2466,ELEXALDE 14
2467,BO ELEXALDE-ZEETA 
2468,GIPUZKOA Nº 68
2469,"CALLE ERREBALBURU KALEA, 7 1ºB"
2470,CARR. MALLABIA 45  
2471,KALEA ERREBALBURU 4A  
2472,AVENIDA GUIPUZKOA Nº58
2473,AV. GIPUZKOA 60E  
2474,CALLE ABELETXE 10 6 B
2475,ONGARAI Nº2 -5ºD
2476,ABELETXE Nº 10 - 5B
2477,ABELETXE KALEA 10  
2478,LUGAR BARRIO ONGARAI 26  
2479,MARKINA ERREPIDEA 5  
2480,CTRA. MARKINA S/N
2481,ETORBIDEA BIZKAIA 31  
2482,SAN LORENZO
2483,LOMI-POWER
2484,SAN LORENZO
2485,POLÍGONO INDUSTRIAL HAMBRE (MALLABIA)
2486,SANTA ANA CALLE 3 KALEA 1  
2487,ONGARAI KALEA
2488,IZELAIETA KALEA 21A  
2489,AVD. GIPUZKOA Nº 60
2490,CAMINO A BARRIO DE REKALDE
2491,AVENIDA GIPUZKOA 60
2492,"AVD, DE GIPUZKOA Nº 60"
2493,AVD. DE GIPUZKOA Nº 60
2494,AVDA.GIPUZKOA Nº37
2495,AVENIDA BIZKAIA (FRENTE AL Nº 11)
2496,CAMINO ELORRETA
2497,CALLE VI CENTENARIO DE LA VILLA Nº 9
2498,"CASERÍO TELLERÍA ERMUA, CARRETERA DE EIZAGA"
2499,CALLE ZERUKOA 3 CAMINO ONGARAI
2500,BARRIO BETIONSO S/N
2501,BARRIO SANTA ANA 2
2502,BARRIO SANTA ANA 2
2503,BARRIO OKINZURI S/N
2504,GRUPO SANTIAGO Nº 1
2505,"EMPRESA EGIKOR ,POLIGONO INDUSTRIAL URTIA"
2506,AVDA. GIPUZKOA Nº46 - 8 G
2507,LA VILLA Nº 9 8º
2508,AVDA. GIPUZKOA Nº 39
2509,SAN PELAYO 10-7C
2510,"CALLE VI CENTENARIO DE LA VILLA Nº 9, 8ºIZQ"
2511,CAMINO FORESTAL ACCESO A CASA BUENOS AIRES
2512,"CALLE SAN ISIDRO 1, 4ºIZQ"
2513,"CALLE ABELETXE 16, BAJO C"
2514,MALLAMENDI Nº 34
2515,BARRIO ONGARAI Nº 7
2516,"CALLE SAN PELAYO 20, 8ºD"
2517,CL ZUBIAURRE 26
2518,MADALEN AUZOA 58
2519,OLABARRI 44B
2520,OLABARRI 31
2521,Bº OLABARRI 
2522,ELEXALDE 8
2523,Bº URIA
2524,POZUETA 176
2525,ELEXALDE 21A
2526,Bº BIONSOLO 
2527,ZABALE 46
2528,ZABALA 40
2529,Bº ULETZA 
2530,Bº KATALIÑA 
2531,KATALINA 27 IZD
2532,URIA AUZOA
2533,OLABARRI 40 C
2534,LEZAMA LEGUIZAMON 3
2535,PARQUE KUKULLAGA
2536,CL BIDEBARRI 15
2537,CL ATXEKOLANDETA 1
2538,"C/ GANGUREN MENDI, 13, 5º B"
2539,C/ MARIVI ITURBE Nº10
2540,"C/ ARBAOLANTXA 8, 5ºB"
2541,AV/ SAN ANTONIO 29
2542,FÁBRICA ARCELOR MITAL
2543,PARQUE DE BEKOSOLO
2544,PARQUE KUKULLAGA
2545,PARQUE BEKOSOLO
2546,"KUKULLAGA, 2"
2547,"Bº KUKULLAGA 2, BJ.DR. (CASA MONTE AMEZTUI)"
2548,LEKUA BARRIO KUKULLAGA 13B (48450)
2549,KUKULLAGA AUZOA 3 (48450)
2550,CAMINO DEL CEMENTERIO A ROTONDA C/ GALICIA
2551,"CASERIO KUKULLAGA, 9"
2552,"C/ PEDRO LOBATO ALKATEA, Nº 14, 5º B"
2553,ARBOLANTXA KALEA 10 (48450)
2554,C/ NERBIOI Nº1
2555,AV/ SAN ANTONIO Nº5
2556,AV/ SAN ANTONIO 30
2557,C/ ARBOLANTXA Nº8
2558,FUENLABRADA KALEA 1 (48450)
2559,ZUBEROA KALEA 7 (48450)
2560,CL MARIVI ITURBE 6
2561,CL FORUA 11
2562,AV SAN ESTEBAN 16
2563,LUGAR BARRIO ALTZAA 32A  
2564,"GALARTZA AUZOA, 24"
2565,"UNAMUNTZAGA, 15"
2566,ANSOTEGI ERROTA
2567,"ALTZAA AUZOA, 32"
2568,ERBERA KALEA 35  
2569,"ALTZAA AUZOA, 4"
2570,"ALTZAA AUZOA, 7"
2571,"ALTZAA AUZOA, 4"
2572,"ALTZAA AUZOA, 7"
2573,ERBERA KALEA 15
2574,"GALARTZA INDUSTRIALDEA,22 "
2575,"GALARTZA  AUZOA, 30"
2576,"ALTZAA AUZOA, 7"
2577,"ALTZAA AUZOA, 12-1."
2578,"UNAMUNTZAGA AUZOA, 6 URKAREGI-KURUTZ"
2579,"GALARTZA AUZOA, 39"
2580,Bº GALARTZA
2581,"AULESTI AUZOA, 23"
2582,"ALTZAA AUZOA, 37"
2583,"GALARTZA AUZOA, 2"
2584,"ALTZAA AUZOA, 30"
2585,"GALARTZA AUZOA, 47"
2586,GALARTZA AUZOA
2587,BO ALTZAA 37
2588,"GAITOKA AUZOA, 3"
2589,"GAITOKA AUZOA, 16"
2590,"ELEXALDE AUZOA ""HILERRI ONDOAN"""
2591,"ARMOTXERRI AUZOA,14"
2592,ELEXALDE AUZOA 77
2593,"ATXONDOA AUZOA,32"
2594,MARISMA ZONA ATXAGAS
2595,"ELEXALDE, 69 (APEADERO DEL TREN)"
2596,URBERUAGA 6
2597,"CARLOS GANGOITI KALEA, 69"
2598,"BALDATIKA AUZOA, 10."
2599,"GAITOKA AUZOA, 1"
2600,"GAITOKA AUZOA, 17"
2601,"GAITOKA AUZOA, 17"
2602,"GAITOKA AUZOA, 6"
2603,ARTETA 10
2604,"DANTZARIEN PLAZA, 1"
2605,CEMENTERIO MUNICIPAL
2606,"ATXONDOA AUZOA, 5"
2607,"ATXONDOA AUZOA, GRANJA DE CONEJOS"
2608,"DANTZARIEN PLAZA, 1"
2609,"ELEXALDE AUZOA, 75"
2610,"ELEXALDE AUZOA, 58"
2611,ERMITA SAN KRISTOBAL (ARMOTXERRI AUZOA)
2612,ERMITA SAN KRISTOBAL (ARMOTXERRI)
2613,ELEXALDE AUZOA 74
2614,ELEXALDE AUZOA 74
2615,"GAITOKA AUZOA, 16"
2616,"GAITOKA AUZOA, 16"
2617,"ATXONDOA AUZOA, 11"
2618,ALDAI AUZOA 47A  
2619,BI-3123 21  
2620,BO. BOTIOLA Nº 23
2621,BO. BATIZ 19
2622,BO. ANDEKO 1
2623,BO. PLAKONALDE 9
2624,BO. ALDAI 13 APROX
2625,OLALDE
2626,BARRIO BATIZ 23
2627,ALDAI AUZOA 15 (48116)
2628,ALDAI 37
2629,ALDAI  37
2630,CL TXOMIN EGILEOR 6
2631,"BO. MANDALUNIZ, 16"
2632,ALDAI AUZOA 15 (48116)
2633,BO. BATIZ CASERIO GOMOA
2634,LUGAR BARRIO BOTIOLA 27B (48116)
2635,"BO. BOTIOLA, Nº 2 (CASERIO LOZKAR)"
2636,"BO. MANDALUNIZ, 19A"
2637,ALDAI 47
2638,PROA SELECTION CARS
2639,LUGAR BARRIO ELEXALDE 20B  
2640,USARGOITI 13
2641,PUENTELATORRE
2642,"EGIA, 8"
2643,EXPLOSIVOS MAXAM
2644,EGIA 10
2645,BEKELARRE 13
2646,TXOMIN EGILEOR 33A
2647,OLABARRI
2648,TRAVESIA ZUAZAURRE 8-1º IZDA
2649,IBAIZABAL 11
2650,PONTZI ZABALA 1-3
2651,"TXOMIN EGILEOR, 33A"
2652,MAXAM GALDÁCANO
2653,SAN IGNACIO LOIOLA 2-4ºA
2654,BIZKAI 39-3ºB DCHA
2655,OLABARRIETA AUZOA 54  
2656,TXOMIN EGILEOR 35A
2657,ELEXALDE 52
2658,"BARRIO LABEAGA, Nº 1  "
2659,LAMINARRIETA 3 1ºA
2660,ERRKLDE 5-7 
2661,LEKUBASO 3
2662,GANGUREN 7 4F
2663,TXOMIN EGILEOR 35A
2664,"PEDRO CASTILLO, Nº3 1A"
2665,"N-634, POLÍGONO IRUBIDE"
2666,TXOMIN EGILEOR 35A
2667,ZUATZAURRE 23 - 8º A
2668,"TXOMIN EGILEOR, 33A"
2669,POLIGONO HIRU-BIDE CONCESIONARIO FORD
2670,ARCHIVO DIPUTACIÓN GANGUREN
2671,BEKEA 54
2672,LAPURDI 37 4ºA
2673,TXOMIN EGILEOR
2674,GIPUZKOA 7-5º IZDA
2675,GIPUZKOA 7
2676,POLÍGONO IRU-BIDE ANTIGUO PAN. DUCATI
2677,APERRIBAI AUZOA 1  
2678,"APERRIBAI ZAHARRA,6"
2679,MEATZETA
2680,ARTETA AUZOA 2
2681,BEKEA 48
2682,BEKEA 34
2683,SIXTA BARRENETXEA 38
2684,ARTETA AUZOA 2 
2685,APERRIBAI 39 5ºB
2686,BIDEZABAL 6 BRDIGESTONE
2687,POLIGONO ITZAGA  
2688,BEKELARRE AUZOA
2689,ERREKALDE 12
2690,ARANZELAI BIDEA 18A  
2691,"TXOMIN EGUILEOR, 28"
2692,LABEAGA AUZOA 47  
2693,TXOMIN EGILEOR 33 
2694,ARTETA
2695,TXOMIN EGUILEOR 35A
2696,TROKARRO 42
2697,APERRIBAI AUZOA 2  
2698,ARTETA AUZOA
2699,APERRIBAI ZAHARRA 13
2700,"OLABARRI, 2"
2701,LEKUE 6
2702,LEKUE AUZOA
2703,USARGOITI 20
2704,GOROSIBAI 33
2705,"GUMUZIO AUZOA, 5 GALDAKAO"
2706,LUGAR BARRIO GUMUZIO 31X  
2707,IBAZIABAL 5-3º C
2708,ARTOLA 19
2709,OLETXE 43
2710,OLETXE 47 TRASERA
2711,BARRIO APERRIBAI 37
2712,"ERREKALDE BIDEA, 7"
2713,"IBAIZABAL, 8 TRASERA"
2714,ERGOIEN 3
2715,IBERLUZE KALEA 70  
2716,"UPOMENDI, ACCESO PEATONAL HACIA LA ESTACIÓN"
2717,LA TROKA 23
2718,ARANZELAI BIDEA
2719,MUGRU 6-3º A
2720,BIZKAI KALEA 97 FRENTE BAR QUIJOTE
2721,OLABARRI AUZOA 27 (48960)
2722,GOROSIBAI 9A
2723,URTEBIETA 22-23
2724,CARR. VIVERO 10QUI (48960)
2725,TXISTULANDA AUZOA 23 (48960)
2726,SIN DIRECCION
2727,CARRETERA VIVERO
2728,"TXOMIN EGUILEOR, 21"
2729,"BEKEA, 42"
2730,ELEXALDE 36
2731,OLABARRIETA 13-14-15
2732,ALTAMIRA 9
2733,ZUAZO
2734,"APERRIBAI, 53"
2735,TXIMILARRE BEKOA 79
2736,ARANZELAI
2737,ASKARRI 33
2738,"CARRETERA VIVERO (BI-3732, P.K. 10-11"
2739,"KORTEDERRA, 9"
2740,PUENTELATORRE
2741,TXIMILARRE BEKOA 48-50
2742,EGIA 16
2743,USARGOTI
2744,URTEBIETA 23
2745,CAMINO LEKUBASO
2746,FRENTE A TXIMELARRE BEKOA 52
2747,APERRIBAI
2748,OLABARRI 49
2749,PONTZI ZABALA 1-3
2750,"TXOMIN EGUILEOR, 33 A"
2751,BEKELARRE 10
2752,SIXTA BARRENETXEA 36-4ºC
2753,BIZKAI 39 3º B
2754,TXOMIN EGILEOR 15A
2755,LAMINARRIETA 7 BAJO A
2756,SUBIDA VIVERO DESDE BENGOETXE
2757,KORTEDERRA 1
2758,LEKUBADO 5-2º
2759,LABEAGA AUZOA
2760,OLABARRIETA 44
2761,HOSPITAL UNIVERSITARIO DE GALDAKAO
2762,TXISTULANDA 5
2763,BEKEA 67A
2764,BELATEGI
2765,MADERAS BASAÑEZ
2766,MADERAS BASAÑEZ
2767,OLABARRIETA 28
2768,BIZKAI 15 12ºD
2769,TXOMIN EGILEOR 35A
2770,BIZKAI 97 5ºD
2771,"MEATXETABIDE, 1A"
2772,OLABARRIETA
2773,TXISTULANDA 37
2774,COLEGIO URRETA 1
2775,APERRIBAI AUZOA 31A (48960)
2776,FRONTON APERRIBAI
2777,LABEAGA JUNTO A PUENTELATORRE
2778,J M. ARRIETA MASCARUA Nº20
2779,"ESTARTA, 9-BIS"
2780,"PZ EUSKADI, 6"
2781,GALDOTXA ARANA
2782,ANDRAMARI 4-4º-IZQD
2783,CL ARANGOITI 1-A
2784,CL ENKARTERRI 2
2785,APERRIBAI 49
2786,OLABARRIETA 12
2787,POLIDEPORTIVO ELEXALDE
2788,USARGOITI Nº 9
2789,ANTIGUO PARQUE DE ATRACCIONES
2790,OLABARRIETA 40
2791,CARRETERA BILBAO- GALDÁKAO KM 6 
2792,ESCUELAS DE EPERLANDA
2793,OLABARRIETA 41
2794,BELATEGI
2795,OLABARRIETA 31
2796,"OLABARRIETA, 16 IZQ"
2797,LUGAR BARRIO LABEAGA 65 (48960)
2798,CAMINO ARTETA 6
2799,"TXOMIN EGILEOR, 35 A_MAXAM"
2800,UXARGOITI 3
2801,OLABARRIETA 44
2802,S. BARRENETXEA FRENTE A LA IGLESIA
2803,ESTACIÓN TREN ZUHATZU
2804,"APERRIBAI, 10"
2805,URTEBIETA
2806,EGIA 9A
2807,GOROSIBAI 9 CURVA
2808,APERRIBAI 9  TRASERA CUARTO PISO
2809,TORREZABAL 6
2810,"ALTAMIRA, 7"
2811,BELATEGI AUZOA 1 (48960)
2812,PADROLA 3
2813,PADROLA
2814,"BILBO, 6"
2815,LOIOLAKO INAZIO 24 
2816,APERRIBAI 23A
2817,Bº EGIA
2818,EGIA 9A
2819,TXIMELARRE BIDEA 12
2820,GOROSIBAI 9A
2821,IBERLUZE
2822,ZUBIAURRETARREN KALEA  (48960)
2823,ANDER DEUNA 20 TRASERA
2824,URRETA 15 - 5 C
2825,LEKUE 14
2826,PERTXIN BIDEA Nº 7 - 5º A
2827,LUGAR BARRIO GUMUZIO 31V (48960)
2828,LUGAR BARRIO ELEXALDE 56 (48960)
2829,KORTEDERRA 34
2830,CAMINO PEATONAL ZUAZO A ARKOTXA DESDE ESTACION DE TREN
2831,APERRIBAI 42-4º IZDA
2832,ERMITA ONDO 9 - 2 DCH A
2833,APERRIBAI ZAHARRA
2834,ZUAZO
2835,TXOMIN EGILEOR KALEA 51 (48960)
2836,LEKUE AUZOA 27 (48960)
2837,TXOMIN EGILEOR_MAXAM
2838,BEKEA 
2839,MAXAM GALDÁCANO
2840,PLAZA GURUTZEKO 8A (48960)
2841,BILBO KALEA 4 (48960)
2842,"URTEBIETA, 21 TRASERA"
2843,BEKEA 8
2844,ARTOLA 2
2845,ANDER DEUNA KALEA 5 (48960)
2846,"ELEXALDE, 2A CEMENTERIO"
2847,OLABARRIETA 20
2848,N-634
2849,TXOMIN EGILEOR KALEA 33 (48960)
2850,EGIA 16
2851,ARTOLA 2
2852,"KORTEDERRA, 9 "
2853,"CARRETERA DE SANTO DOMINGO AL GALLO KM 8,5"
2854,BEKEA 16
2855,BEKELARRE 13
2856,APERRIBAI BIDE 16
2857,"URTEBIETA 4, LATERAL"
2858,"PERTXIN AUZOA, 2"
2859,LABEAGA 44
2860,"BEKEA, 16"
2861,ANDER DEUNA 18
2862,ARANZELAI PASADO TUNEL AUTOPISTA 
2863,PADROLA
2864,LA TROKA 4
2865,"BIZKAI, 98-100"
2866,APERRIBAI 32
2867,"KORTEDERRA, 1"
2868,GUMUZIO 5
2869,GOROSIBAI 9A PROXIMIDADES
2870,LEKUE 26
2871,ELEXALDE 16 A
2872,"ERREKALDEBIDE, 5-7"
2873,"ARANZELAI 1, JUNTO BIDEGORRI"
2874,PADROLA
2875,LEKUE 5
2876,ARANZELAI BIDEA10
2877,"ABUSU, 3A"
2878,"TOMÁS LARRINAGA, 1F"
2879,"ZABALEA, 47"
2880,ARANZALAI JUNTO AL 7 A
2881,"TXOMIN EGUILEOR, 35B"
2882,ESTANISLAO GALLATEGI 8
2883,BARRIO GUMUZIO 7
2884,BIZKAI KALEA 100
2885,APERRIBAI 32
2886,"APERRIBAI, 9 - 4º IZDA."
2887,VENTANA TRASERA OLBARRIETA 28 DERECHA
2888,"OLETXE 47, LATERAL"
2889,"GOROSIBAI, 33"
2890,EGIA
2891,APERRIBAI 26-27
2892,"APERRIBAI, 22"
2893,APERRIBAI 4-1º DCHA
2894,"TOMAS LARRINAGA, 1-F"
2895,"TOMAS LARRINAGA, 1-F"
2896,LOIOLAKO INAZIO 16
2897,OLABARRIETA 39
2898,APERRIBAI 16-1º C
2899,"LABEAGA, 47"
2900,ARANZELAI
2901,APERRIBAI 22 
2902,ARTOLA AUZOA 15
2903,APERRIBAI ZAHARRA 7
2904,GALDAKAO ASKARRI AUZOA 33 BIZKAIA
2905,BI-3732  (48960)
2906,GALDÁCANO
2907,LA TROKA 4
2908,PADROLA Nº3
2909,BEKEA 8
2910,BELATEGI AUZOA 7
2911,BARRIO DE USARGOITI Nº 2
2912,ASKARRI 8
2913,"APERRIBAI, 33 4ºIZQ"
2914,"APERRIBAI, 33 4ºIZQ"
2915,"ARTOLA, 15"
2916,GUMUZIO
2917,"ALTAMIRA, 6"
2918,"TXOMIN EGILEOR, 35A"
2919,URTEBIETA 28
2920,"TXOMIN EGILEOR, 9-E"
2921,URRETA 13-15
2922,LA TROKA 23 (GRANJA)
2923,LA TROKA 17
2924,CL IBARLUZE 78
2925,BASABE
2926,ALTAMIRA 6
2927,LUGAR BARRIO ELEXALDE 20F (48960)
2928,GOROSIBAI Nº 9A - 2º B
2929,ARTOLA
2930,ANDRAMARIKO ALDATZE
2931,IBERLUZE 45
2932,"ANDER DEUNA 20, TRASERA"
2933,ANDER DEUNA 35
2934,APERRIBAI 12
2935,BEKELARRE 10
2936,ELEXALDE
2937,EGIA 15
2938,APERRIBAI ZAHARRA
2939,J.B.URIARTE 46-1ºA
2940,TOMA LARRINAGA 1
2941,APERRIBAI ZAHARRA
2942,APERRIBAI ZAHARRA
2943,COCA-COLA EUROPEAN PARTNERS (IBERIA)
2944,IBAIZABAL KALEA
2945,TOMAS LARRINAGA 1
2946,MAXAM GALDÁCANO
2947,BEKEA 67
2948,ASKARRI 33
2949,KORTEDERRA
2950,GUMUZIO
2951,ARTOLA
2952,BEKEA
2953,TXOMIN EGILEOR
2954,LA TROKA
2955,OLABARRIETA
2956,APERRIBAI 42 4º IZ.
2957,IBIZABAL 5- 3º C
2958,OLABARRIETA 51 DCHA
2959,"ALDATZE ETXADIA, 14"
2960,BEKELARRE AUZOA 7
2961,MAXAM GALDÁCANO
2962,COCA-COLA EUROPEAN PARTNERS (IBERIA)
2963,TXOMIN EGILEOR 35B/MAXAM
2964,APERRIBAI 25-4º IZDA
2965,BEKELARRE 7 BAJO
2966,"OLABARRIETA 18, DRCHA"
2967,APERRIBAI ZAHARRA 9
2968,"APERRIBAI AUZOA, 17"
2969,PRESA LEKUBASO
2970,"UPOMENDI, TRASERA DEL Nº13"
2971,URRETA PARKEA Nº 6 - 6º A
2972,JUGO 11
2973,"ALDATZE, 4"
2974,GERNIKA 4
2975,TXOMIN EGILEOR- MAXAM
2976,URTEBIETA AUZOA 8 (48960)
2977,TXOMIN EGILEOR- MAXAM
2978,IBAIZABAL KALEA 41 (48960)
2979,TXOMIN EGILEOR KALEA 41B (48960)
2980,ZUAZO S/N
2981,"TXOMIN EGILEOR, 35_MAXAM"
2982,TXOMIN EGILEOR KALEA 41B (48960)
2983,TXOMIN EGILEOR KALEA 41B (48960)
2984,BELATEGI 7
2985,TX. EGILEOR S/N (MAXAM)
2986,LEKUBASO BIDEA 3
2987,"PERTXINBIDE, DESPUES DE LA VÍAS DE EUSKOTREN"
2988,OLABARRI FRENTE AL 73
2989,OLABARRI AUZOA 49 (48960)
2990,FRAY IGNACIO KALEA 2A (48960)
2991,ARTOLA AUZOA 2 (48960)
2992,"URTEBIETA, 4"
2993,SIXTA BARRENETXEA KALEA 24A (48960)
2994,BEKEA AUZOA 9 (48960)
2995,KALEA TXOMIN EGUILEOR 92171 (48960)
2996,KALEA TXOMIN EGUILEOR 92140 (48960)
2997,KALEA TXOMIN EGUILEOR 92069 (48960)
2998,KALEA TXOMIN EGUILEOR 92069 (48960)
2999,KALEA TXOMIN EGUILEOR 92 (48960)
3000,KALEA TXOMIN EGUILEOR 92 (48960)
3001,TXOMIN EGILEOR KALEA 41B (48960)
3002,KALEA TXOMIN EGUILEOR 91035 (48960)
3003,KALEA TXOMIN EGUILEOR 91018 (48960)
3004,TXOMIN EGILEOR KALEA 33 (48960)
3005,"TXOMIN EGILEOR, 35 A MAXAM"
